,author,content,description,publishedAt,source,title,url,urlToImage,relevancy
0,"Binoy Paulose Nadappuram, Paolo Cadinu, Avijit Barik, Alexander J. Ainscough, Michael J. Devine, Minkyung Kang, Jorge Gonzalez-Garcia, Josef T. Kittler, Keith R. Willison, Ramon Vilar, Paolo Actis, Beata Wojciak-Stothard, Sang-Hyun Oh, Aleksandar P. Ivanov, Joshua B. Edel","1. Tseng, F.-G. &amp; Santra, T. S. Essentials of Single-cell Analysis: Concepts, Applications and Future Prospects (Springer, Berlin, 2016). 2. Borland, L. M., Kottegoda, S., Phillips, K. S. &amp; Allbritton, N. L. Chemical analysis of single cells. Annu. Re… [+6437 chars]","A nanotweezer system based on dielectrophoresis can trap, manipulate and extract biomolecules and organelles in living cells at physiological conditions with high spatiotemporal resolution and minimal invasiveness.",2018-12-03T00:00:00Z,"{'id': None, 'name': 'Nature.com'}",Nanoscale tweezers for single-cell biopsies,https://www.nature.com/articles/s41565-018-0315-8,https://media.springernature.com/m685/springer-static/image/art%3A10.1038%2Fs41565-018-0315-8/MediaObjects/41565_2018_315_Fig1_HTML.png,590
1,"Gang Chen, Kyle J. Gibson, Di Liu, Huw C. Rees, Jung-Hoon Lee, Weiwei Xia, Ruoqian Lin, Huolin L. Xin, Oleg Gang, Yossi Weizmann","1. Xia, Y., Xiong, Y., Lim, B. &amp; Skrabalak, S. E. Shape-controlled synthesis of metal nanocrystals: simple chemistry meets complex physics? Angew. Chem. Int. Ed. 48, 60103 (2009). 2. Huang, X., Neretina, S. &amp; El-Sayed, M. A. Gold nanorods: from synthe… [+7737 chars]",Selective surface blocking allows for the regioselective DNA functionalization of nanoparticles and control over their self-assembly.,2018-12-03T00:00:00Z,"{'id': None, 'name': 'Nature.com'}",Regioselective surface encoding of nanoparticles for programmable self-assembly,https://www.nature.com/articles/s41563-018-0231-1?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+nmat%2Frss%2Fcurrent+%28Nature+Materials+-+Issue%29,https://media.springernature.com/m685/springer-static/image/art%3A10.1038%2Fs41563-018-0231-1/MediaObjects/41563_2018_231_Fig1_HTML.png,100
2,Caragh McKay,"‘I really only like big gems, strong colours, big rings and big jewels. Art was a language spoken around me all the time when I was growing up, so colour is a natural preoccupation, my number one priority. It’s what makes me tick,’ so said Paloma Picasso. The… [+2458 chars]","‘I really only like big gems, strong colours, big rings and big jewels. Art was a language spoken around me all the time when I was growing up, so colour is a natural preoccupation, my number one priority. It’s what makes me tick,’ so said Paloma Picasso. The…",2018-12-03T00:00:00Z,"{'id': None, 'name': 'Wallpaper.com'}",My life in colour: Paloma Picasso recaptures the glamour of 1980s New York for Tiffany & Co,https://www.wallpaper.com/watches-and-jewellery/paloma-picasso-relights-the-glamour-of-1980s-new-york-for-tiffany-co,https://cdn.wallpaper.com/main/styles/fp_1540x944/s3/2018/12/paloma-landy.jpg,390
3,Elly Parsons,"Artist’s Palate: Joana Vasconcelos’ fruit cake Taking two months to make, Joana Vasconcelos’ fruit cake, part of her Treats sculpture series and our monthly Artist’s Palate series, is not for the faint of will. Pictured: Frog, £104, by Michael Aram, from Amar… [+424 chars]","This year, Wallpaper* launched into the future with the new Moonshots Division; made feel-good design at our Wellness + Wonder Handmade exhibition in Milan, and interviewed everyone from Sir Jony Ive to Prince Charles. We debuted the first Wallpaper* Film Pla…",2018-12-03T00:00:00Z,"{'id': None, 'name': 'Wallpaper.com'}",Year in review: 2018 in pictures,https://www.wallpaper.com/gallery/design/2018-in-review,https://cdn.wallpaper.com/main/styles/fp_1540x944/s3/2018/12/landscape_yearinreview.jpg,127
4,"Binoy Paulose Nadappuram, Paolo Cadinu, Avijit Barik, Alexander J. Ainscough, Michael J. Devine, Minkyung Kang, Jorge Gonzalez-Garcia, Josef T. Kittler, Keith R. Willison, Ramon Vilar, Paolo Actis, Beata Wojciak-Stothard, Sang-Hyun Oh, Aleksandar P. Ivanov, Joshua B. Edel","1. Tseng, F.-G. &amp; Santra, T. S. Essentials of Single-cell Analysis: Concepts, Applications and Future Prospects (Springer, Berlin, 2016). 2. Borland, L. M., Kottegoda, S., Phillips, K. S. &amp; Allbritton, N. L. Chemical analysis of single cells. Annu. Re… [+6437 chars]","A nanotweezer system based on dielectrophoresis can trap, manipulate and extract biomolecules and organelles in living cells at physiological conditions with high spatiotemporal resolution and minimal invasiveness.",2018-12-03T00:00:00Z,"{'id': None, 'name': 'Nature.com'}",Nanoscale tweezers for single-cell biopsies,https://www.nature.com/articles/s41565-018-0315-8?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+nnano%2Frss%2Fcurrent+%28Nature+Nanotechnology+-+Issue%29,https://media.springernature.com/m685/springer-static/image/art%3A10.1038%2Fs41565-018-0315-8/MediaObjects/41565_2018_315_Fig1_HTML.png,537
5,"Gang Chen, Kyle J. Gibson, Di Liu, Huw C. Rees, Jung-Hoon Lee, Weiwei Xia, Ruoqian Lin, Huolin L. Xin, Oleg Gang, Yossi Weizmann","1. Xia, Y., Xiong, Y., Lim, B. &amp; Skrabalak, S. E. Shape-controlled synthesis of metal nanocrystals: simple chemistry meets complex physics? Angew. Chem. Int. Ed. 48, 60103 (2009). 2. Huang, X., Neretina, S. &amp; El-Sayed, M. A. Gold nanorods: from synthe… [+7737 chars]",Selective surface blocking allows for the regioselective DNA functionalization of nanoparticles and control over their self-assembly.,2018-12-03T00:00:00Z,"{'id': None, 'name': 'Nature.com'}",Regioselective surface encoding of nanoparticles for programmable self-assembly,https://www.nature.com/articles/s41563-018-0231-1,https://media.springernature.com/m685/springer-static/image/art%3A10.1038%2Fs41563-018-0231-1/MediaObjects/41563_2018_231_Fig1_HTML.png,114
6,meredith,"I didn’t bother with the green eyes in print – I think it gets the job done. I let it have its own 2-page spread in the book. TV Tropers would probably find a lot of gold in this one. It closes the loop of the story, Marek turns out to be really desirable by … [+13 chars]","I didn’t bother with the green eyes in print – I think it gets the job done. I let it have its own 2-page spread in the book. TV Tropers would probably find a lot of gold in this one. It closes the loop of the story, Marek turns out to be really desirable by …",2018-12-03T00:00:37Z,"{'id': None, 'name': 'Octopuspie.com'}",#258 – polish stallion,http://www.octopuspie.com/2018-12-03/258-polish-stallion-2/,,150
7,"USA TODAY, Brian Truitt, USA TODAY","Arthur Curry (Jason Momoa) is forced to deal with his connections to the surface world and the underwater one in director James Wan's ""Aquaman."" USA TODAY ""Aquaman"" star Amber Heard made a splash pun completely intended at the London premiere of her new super… [+1800 chars]","Amber Heard says a sad goodbye to the Valentino swim cap she wore for the London 'Aquaman' premiere, which she vastly preferred to her movie costume.",2018-12-03T00:03:21Z,"{'id': 'usa-today', 'name': 'USA Today'}",'Aquaman' star Amber Heard laments saying goodbye to her Valentino swim cap,https://www.usatoday.com/story/life/entertainthis/2018/12/02/amber-heard-laments-saying-goodbye-her-aquaman-couture-swim-cap/2182428002/?utm_source=google&utm_medium=amp&utm_campaign=speakabl,"https://www.gannett-cdn.com/presto/2018/12/02/USAT/bf22fcf4-2aa9-4168-9c4f-edf2eb2e8e6f-AFP_AFP_1B4820.JPG?crop=4276,2405,x1,y117&width=3200&height=1680&fit=bounds",668
8,https://www.facebook.com/DailyMailCeleb,"They rarely grace the red carpet with appearances together. But Josh Hartnett and Tamsin Egerton look smitten as they posed at the British Independent Film Awards at Old Billingsgate in London on Sunday. A radiant Tamsin, 30, was clad in a very exotic printed… [+2050 chars]","A radiant Tamsin, 30, was clad in a very exotic printed gown complete with beadwork and sheer lace.",2018-12-03T00:06:06Z,"{'id': 'daily-mail', 'name': 'Daily Mail'}",Josh Hartnett and Tamsin Egerton are a picture of love as they cosy up during rare appearance,https://www.dailymail.co.uk/tvshowbiz/article-6452973/Josh-Hartnett-Tamsin-Egerton-picture-love-cosy-rare-appearance.html,https://i.dailymail.co.uk/1s/2018/12/02/23/6921330-0-image-a-10_1543793934953.jpg,922
9,李齐,"COLORADO SPRINGS, the United States - The world's biggest gold merchants have given two thumbs up to China's increased involvement in the World Gold Council. ""This will benefit all players in the gold industry,"" said Chris Niu, vice-president of the Toronto-b… [+138 chars]","COLORADO SPRINGS, the United States - The world's biggest gold merchants have given two thumbs up to China's increased involvement in the World Gold Council.",2018-12-03T00:07:34Z,"{'id': None, 'name': 'Chinadaily.com.cn'}",China's rise reshapes global gold industry,http://www.chinadaily.com.cn/cndy/2018-12/03/content_37344180.htm,,604
