,author,content,description,publishedAt,source,title,url,urlToImage,relevancy
0,"Dimitri Zabelin, Junior Currency Analyst, Dimitri Zabelin","What is the Canadian Dollar? The Canadian Dollar is the official currency of Canada. It is also sometimes informally referred to by traders as the “Loonie”. The name is in reference to the country’s indigenous bird, the common loon. Canada’s first bank notes … [+5218 chars]",Are you trading or looking to trade the Canadian Dollar? This brief yet comprehensive primer will give you essential tools to do it.,2018-11-24T00:00:00Z,"{'id': None, 'name': 'Dailyfx.com'}",Canadian Dollar: What Every Trader Needs to Know,https://www.dailyfx.com/forex/fundamental/article/special_report/2018/11/24/Canadian-Dollar-What-Every-Trader-Needs-to-Know.html,,579
1,mirror,"Saturdays Betfair Chase (3pm) has been a race in which winners return to Haydock and run well again, with the great Kauto Star scoring on four occasions, Silviniaco Conti landing it twice and also finishing runner-up and third, and Cue Card prevailing three t… [+2685 chars]",Follow his advice on the biggest races of the day and you could win big,2018-11-24T00:00:00Z,"{'id': 'mirror', 'name': 'Mirror'}",Horse racing betting tips: Why the experts are backing Native River to win at 5/2,https://www.mirror.co.uk/sport/betting/horse-racing-betting-tips-odds-13631604,https://i2-prod.mirror.co.uk/incoming/article8755046.ece/ALTERNATES/s1200/paddy-power.jpg,210
2,"Xue-Peng Wei, Rui-Qian Zhang, Le-Bin Wang, Yan-Ling Luo, Feng Xu, Ya-Shao Chen",If you are not the author of this article and you wish to reproduce material from it in a third party non-RSC publication you must formally request permission using Copyright Clearance Center. Go to our Instructions for using Copyright Clearance Center page f… [+2546 chars],"J. Mater. Chem. C, 2018, Accepted Manuscript DOI : 10.1039/C8TC05294H, Paper Xue-Peng Wei, Rui-Qian Zhang, Le-Bin Wang, Yan-Ling Luo, Feng Xu, Ya-Shao Chen With increasingly development of science and technology, food analysis and detection techniques are end…",2018-11-24T00:00:00Z,"{'id': None, 'name': 'Rsc.org'}","Novel multi-walled carbon nanotubes decorated with gold nanoparticles graft poly(2-methacryloyloxyethyl ferrocenecarboxylate) organic-inorganic nanohybrids: Preparation, characterization and electrochemical sensing applications",https://pubs.rsc.org/en/content/articlelanding/2018/tc/c8tc05294h,,258
3,"Mark Murphy, By Mark Murphy","Kyrie Irving let the Celtics media know last week that he doesn’t plan to play beyond his early or mid-30’s, and considering the mileage that the 26-year-old point guard has already put on his body, the plan is sane at the very least. That’s why, with 1,424 g… [+4350 chars]","Kyrie Irving let the Celtics media know last week that he doesn’t plan to play beyond his early or mid-30’s, and considering the mileage that the 26-year-old point guard has already put on his body, the plan is sane at the very least. That’s why, with 1,424 g…",2018-11-24T00:00:00Z,"{'id': None, 'name': 'Bostonherald.com'}",In it for the long haul,http://www.bostonherald.com/sports/celtics/2018/11/in_it_for_the_long_haul,http://www.bostonherald.com/sites/default/files/styles/full/public/media/1969/12/31/d77b9d98-ef6f-11e8-8427-3f4ff7d08343.jpg?itok=yOPYl9IZ,371
4,"Associated Press, By Associated Press","NEW YORK — Placido Domingo's eyes watered and his voice quavered. After portraying dozens of characters over a half-century on the stage of the Metropolitan Opera House, he got emotional being himself. ""For us, the opera singers, it is just like Frank Sinatra… [+3086 chars]","NEW YORK — Placido Domingo&#39;s eyes watered and his voice quavered. After portraying dozens of characters over a half-century on the stage of the Metropolitan Opera House, he got emotional being himself.""For us, the opera singers, it is just like Frank Sina…",2018-11-24T00:00:00Z,"{'id': None, 'name': 'Bostonherald.com'}",Placido Domingo feted at Met Opera for his 50th anniversary,http://www.bostonherald.com/entertainment/music/2018/11/placido_domingo_feted_at_met_opera_for_his_50th_anniversary,http://www.bostonherald.com/sites/default/files/styles/full/public/media/ap/2018/11/24/d568f9c15b46406db0ab9e8d940eb7f8.jpg?itok=MctFnucm,291
5,Elizabeth Birdthistle,"Results Hegartys Antiques and Fine Art Bandon Co Cork. Country house auction November 18th. The Bugle Room by Wojciech Kossak, 5,700 (4,000-6,000); Early 20th-century two-door library bookcase with marquetry inlay, 1,050 (1,000-1,500); A triple pedestal early… [+3042 chars]","Results Hegarty’s Antiques and Fine Art Bandon Co Cork. Country house auction November 18th. The Bugle Room by Wojciech Kossak, €5,700 (€4,000-€6,000); Early 20th-century two-door library bookcase with marquetry inlay, €1,050 (€1,000-€1,500); A triple pedesta…",2018-11-24T00:00:00Z,"{'id': 'the-irish-times', 'name': 'The Irish Times'}",Auction results and forthcoming sales,https://www.irishtimes.com/life-and-style/homes-and-property/fine-art-antiques/auction-results-and-forthcoming-sales-1.3705674,https://www.irishtimes.com/image-creator/?id=1.3705671&origw=1440,632
6,Alanna Gallagher,"A stand mixer is like a third hand in the kitchen, helping you beat, knead, mix, shred and blend. One hundred years since its debut, the KitchenAids sturdy design and appealing retro lines continue to make cooks weak at the knees. And although prices have com… [+4785 chars]","CAKE BAKER’S FRIEND A stand mixer is like a third hand in the kitchen, helping you beat, knead, mix, shred and blend. One hundred years since its debut, the KitchenAid’s sturdy design and appealing retro lines continue to make cooks weak at the knees. And alt…",2018-11-24T00:00:00Z,"{'id': 'the-irish-times', 'name': 'The Irish Times'}",Think Black Friday is over? These eight deals are still on the table,https://www.irishtimes.com/life-and-style/homes-and-property/interiors/think-black-friday-is-over-these-eight-deals-are-still-on-the-table-1.3707129,https://www.irishtimes.com/image-creator/?id=1.3708028&origw=960,677
7,"Don Reisinger, Contributor, Don Reisinger, Contributor https://www.forbes.com/sites/forbes-finds/people/donreisinger/","Whether youre a PC gamer, console gamer, or mobile gamer, theres one constant in your life: gaming accessories are everywhere. Each year, both first- and third-party gaming companies release a variety of accessories that all promise to enhance your gaming exp… [+6400 chars]","If you need a little boost in your home gaming experience, buying some accessories to boost performance might be a good idea. Here's a guide for finding the best Black Friday deals on gaming accessories.",2018-11-24T00:00:00Z,"{'id': None, 'name': 'Forbes.com'}",Best Black Friday Deals On Gaming Accessories,https://www.forbes.com/sites/forbes-finds/2018/11/23/best-black-friday-deals-on-gaming-accessories/,https://thumbor.forbes.com/thumbor/600x315/https%3A%2F%2Fblogs-images.forbes.com%2Fforbes-finds%2Ffiles%2F2018%2F11%2F8d986cc8-c02b-40b2-86eb-7c16a2d85571_1.e5f37aea12eaaac8f8cfa200eaf4ae04-e1543003049222.jpeg,57
8,"Patrick Blennerhassett, Patrick Blennerhassett","Its safe to say the allure of hosting a major sporting event has faded. For many the last straw was the debacle that was the 2016 Summer Olympics, held in Rio de Janeiro, Brazil. Take Rios Maracana stadium the iconic venue stood empty as politicians squabbled… [+4330 chars]","It’s safe to say the allure of hosting a major sporting event has faded. For many the last straw was the debacle that was the 2016 Summer Olympics, held in Rio de Janeiro, Brazil. Take Rio’s Maracana stadium – the iconic venue stood empty as politicians squab…",2018-11-24T00:00:35Z,"{'id': None, 'name': 'Scmp.com'}",The cost-benefit analysis of hosting a Fifa World Cup or Olympics: Rio’s warning to China is to do so at your peril,https://www.scmp.com/sport/china/article/2174550/cost-benefit-analysis-hosting-fifa-world-cup-or-olympics-rios-warning,https://cdn4.i-scmp.com/sites/default/files/styles/620x356/public/images/methode/2018/11/24/0f2fd626-ee41-11e8-b0fe-c62dccd2d711_image_hires_082031.JPG?itok=kONah_mG,652
9,Eric Rosen,"Despite a controversial 2015 ban on new hotels and strict policies aimed at curbing rampant tourism, Barcelona has nonetheless seen splashy hotel openings in recent years. Those have included the Cotton House, which opened in 2015, and a Soho House that opene… [+12411 chars]","Just opened in September, this addition to Barcelona's scene has quickly become the city’s hottest hotel. Pros: fantastic location, friendly staff, cool décor. Cons: high nightly rates.",2018-11-24T00:00:56Z,"{'id': None, 'name': 'Thepointsguy.com'}",New Kid in Town: A Review of The Barcelona Edition,http://thepointsguy.com/reviews/the-barcelona-edition/,https://i2.wp.com/thepointsguy.com/wp-content/uploads/2018/09/Edition-Barcelona-feat-2.jpg?fit=1280%2C614px&ssl=1,132
10,,"MINNEAPOLIS (WCCO) — Over the past few years, Black Friday has morphed into an entire month of deals. With more sales spread over weeks and online, shopping on the day after Thanksgiving isn’t quite what it used to be. But, for some shoppers, heading to the s… [+991 chars]","Over the past few years, Black Friday has morphed into an entire month of deals. With more sales spread over weeks and online, shopping on the day after Thanksgiving isn't quite what it used to be.",2018-11-24T00:00:59Z,"{'id': None, 'name': 'Cbslocal.com'}",Black Friday Deals Draw Huge Shopping Crowds Across Minnesota,https://minnesota.cbslocal.com/2018/11/23/black-friday-deals-shopping-thanksgiving/,https://cbsminnesota.files.wordpress.com/2018/11/black-friday.jpg?w=1500,695
11,Chris Cook,"T he big names, and only the big names, have turned up for Haydocks Betfair Chase but plenty of recent rain would have made it more competitive. As it is, Might Bite (3.00) looks easily the best equipped of the five runners for a race in which speed as well a… [+3602 chars]","The selection looks the best equipped of the five runners for a race in which speed as well as stamina will be necessary The big names, and only the big names, have turned up for Haydock’s Betfair Chase but plenty of recent rain would have made it more compet…",2018-11-24T00:01:23Z,"{'id': 'the-guardian-au', 'name': 'The Guardian (AU)'}",Talking Horses: Might Bite has the speed to motor home in Betfair Chase,https://www.theguardian.com/sport/blog/2018/nov/24/talking-horses-might-bite-can-motor-home-betfair-chase-horse-racing-tips,https://i.guim.co.uk/img/media/0dd123fad586fd05e990f0b63e58d77a103b06d9/258_116_3794_2276/master/3794.jpg?width=1200&height=630&quality=85&auto=format&fit=crop&overlay-align=bottom%2Cleft&overlay-width=100p&overlay-base64=L2ltZy9zdGF0aWMvb3ZlcmxheXMvdGctZGVmYXVsdC5wbmc&s=a169cf2986df455bed4a960d9e88aab5,3
12,,"Posted November 24, 2018 11:07:40 Gunmen in Syria's rebel-held north-western province shot and killed a prominent anti-government journalist who was also a sharp critic of Islamist militants. Raed Fares' US-funded Radio Fresh station provides news of the conf… [+3672 chars]",The founder of an anti-government Syrian radio station is shot and killed by three gunmen in the country's rebel-held north-western province.,2018-11-24T00:07:40Z,"{'id': 'abc-news-au', 'name': 'ABC News (AU)'}",Prominent anti-government Syrian activist killed by gunmen,https://www.abc.net.au/news/2018-11-24/raed-fares-prominent-syrian-activist-killed-in-rebel-held-idlib/10551520,https://www.abc.net.au/news/image/10551530-16x9-700x394.jpg,276
13,Tony Maglio,"Tiger Woods is back — both in golf and contention in “The Match.” Woods holed out his chip at Hole 17 Friday for birdie, squaring up the match-play contest against Phil Mickelson. The two are playing a head-to-head round in Las Vegas — the winner gets $9 mill… [+6722 chars]","Tiger Woods is back — both in golf and contention in “The Match.” Woods holed out his chip at Hole 17 Friday for birdie, squaring up the match-play contest against Phil Mickelson. The two are playing a head-to-head round in Las Vegas — the winner gets $9 mill…",2018-11-24T00:08:14Z,"{'id': None, 'name': 'Thewrap.com'}",‘The Match:’ Watch Tiger Woods Hole His Chip at 17 to Stay Alive (Video),http://www.thewrap.com/tiger-woods-holes-out-chip-17-the-match-video/,https://www.thewrap.com/wp-content/uploads/2018/09/Tiger-Woods.jpg,225
14,Tony Maglio,"Tiger Woods is back — both in golf and contention in “The Match.” Woods holed out his chip at Hole 17 Friday for birdie, squaring up the match-play contest against Phil Mickelson. The two are playing a head-to-head round in Las Vegas — the winner gets $9 mill… [+6722 chars]",Tiger Woods is back — both in golf and contention in “The Match.” Woods holed out his chip at Hole 17 Friday to tie Phil Mickelson in their $9 million golf game. Watch it here: TIGER. CLUTCH. We're tied heading into the 18th hole ???? #CapitalOnesTheMatch pic…,2018-11-24T00:08:14Z,"{'id': None, 'name': 'Thewrap.com'}",‘The Match:’ Watch Tiger Woods Hole His Chip at 17 to Stay Alive (Video),http://www.thewrap.com/tiger-woods-holes-out-chip-hole-17-the-match-video/,https://www.thewrap.com/wp-content/uploads/2018/09/Tiger-Woods.jpg,622
