,author,content,description,publishedAt,source,title,url,urlToImage,relevancy
0,Matt Espineli,"After the amazing gaming year that was 2017, many wondered how well 2018 would turn out. Fortunately for everyone, it has been great. The first half of the year has yielded a wealth of fantastic games, and there's more on the horizon. Upcoming games for the r… [+12902 chars]","After the amazing gaming year that was 2017, many wondered how well 2018 would turn out. Fortunately for everyone, it has been great. The first half of the year has yielded a wealth of fantastic games, and there's more on the horizon. Upcoming games for the r…",2018-11-17T00:00:00Z,"{'id': None, 'name': 'Gamespot.com'}","Game Release Dates Of 2018: Battlefield 5, Fallout 76, Red Dead 2",https://www.gamespot.com/articles/game-release-dates-of-2018-battlefield-5-fallout-7/1100-6455204/,https://static.gamespot.com/uploads/screen_kubrick/1552/15524586/3447812-every-game-in-2018-promo1-2-thumb-oct.jpg,460
1,"Associated Press, By Associated Press","CHICO, Calif. — With the confirmed death toll at 71 and the list of unaccounted for people more than 1,000, authorities in Northern California on Friday searched for those who perished and those who survived the fiercest of wildfires ahead of a planned visit … [+5690 chars]","CHICO, Calif. — With the confirmed death toll at 71 and the list of unaccounted for people more than 1,000, authorities in Northern California on Friday searched for those who perished and those who survived the fiercest of wildfires ahead of a planned visit …",2018-11-17T00:00:00Z,"{'id': None, 'name': 'Bostonherald.com'}",Fire deaths rise to 71 ahead of Trump's California visit,http://www.bostonherald.com/news/national/2018/11/fire_deaths_rise_to_71_ahead_of_trumps_california_visit,http://www.bostonherald.com/sites/default/files/styles/full/public/media/ap/2018/11/17/e682b7998656429281ccf58e6fce47b7.jpg?itok=s0b-m0sM,545
2,Ali Morris,"Standing in the middle of a strip of crumbling 1970s building blocks in Sharjah, the UAE city’s former bank building is currently seeing out what could be its last days. The authorities plan to have it demolished as the seafront area is cleared to make way fo… [+2989 chars]","Standing in the middle of a strip of crumbling 1970s building blocks in Sharjah, the UAE city’s former bank building is currently seeing out what could be its last days. The authorities plan to have it demolished as the seafront area is cleared to make way fo…",2018-11-17T00:00:00Z,"{'id': None, 'name': 'Wallpaper.com'}",Sharjah gains a new graphic design Biennial set inside a former 1970s abandoned bank,https://www.wallpaper.com/design/fikra-graphic-design-biennial-2018-sharjah,https://cdn.wallpaper.com/main/2018/11/1.zetteler_01_fikra-graphic-design-biennial-01_ministry-of-graphic-design_heart-of-sharjah_image-courtesy-of-obaid-albudoor_01.jpeg,184
3,Deirdre McQuillan,"From Melania Trumps pith helmet in Kenya and hurricane stilettos in Houston, Theresa Mays leopard print pumps and Frida Kahlo bracelet (for that coughing fit) to Madeleine Albrights famous conversation brooches, accessories have their own subliminal language … [+3226 chars]","Parfois, one of the world’s leading accessories companies, has new items every week",2018-11-17T00:00:00Z,"{'id': 'the-irish-times', 'name': 'The Irish Times'}","Accessories, all areas: tie your look together",https://www.irishtimes.com/life-and-style/fashion/accessories-all-areas-tie-your-look-together-1.3691953,https://www.irishtimes.com/image-creator/?id=1.3691951&origw=1440,623
4,Dave Masters,"Saturdays BetVictor Gold Cup (better known in its former guise as the Paddy Power!) (2.25pm) at Cheltenham has seen a major punt on Rather Be after he was the only one of Nicky Hendersons four original entries left in at the five-day stage, but Kings Socks (1… [+2603 chars]",Follow his advice on the biggest races of the day and you could win big,2018-11-17T00:00:00Z,"{'id': 'mirror', 'name': 'Mirror'}",Horse racing betting tips: Why this 10/1 shot is the one to back in today's Gold Cup - according to Paddy Power,https://www.mirror.co.uk/sport/betting/horse-racing-betting-tips-odds-13600414,https://i2-prod.mirror.co.uk/incoming/article8755046.ece/ALTERNATES/s1200/paddy-power.jpg,375
5,"Boston Herald, By Boston Herald","Congress should pass legislation honoring the Americans who died in the Sept. 11, 2012, Benghazi attack and they should do it before adjourning for the holidays next month. The family of former Navy SEAL Glen Doherty, a Winchester native, is behind the push t… [+699 chars]","Congress should pass legislation honoring the Americans who died in the Sept. 11, 2012, Benghazi attack and they should do it before adjourning for the holidays next month. The family of former Navy SEAL Glen Doherty, a Winchester native, is behind the push t…",2018-11-17T00:00:00Z,"{'id': None, 'name': 'Bostonherald.com'}",Editorial: Benghazi victims deserve honors,http://www.bostonherald.com/opinion/op_ed/2018/11/editorial_benghazi_victims_deserve_honors,http://www.bostonherald.com/sites/default/files/styles/full/public/media/2018/11/17/GettyImages-151849642.jpg?itok=t3D_-Qhq,162
6,Mookie Alexander,"The Bloody Elbow staff has made its predictions for Saturdays UFC Fight Night: Magny vs. Ponzinibbio card in Argentina, and to my surprise, everyone is going with Santiago Ponzinbbio to defeat the quite formidable Neil Magny in the main event. As for the co-m… [+15720 chars]","Check out the Bloody Elbow staff’s picks and predictions for Saturday’s UFC Fight Night: Magny vs. Ponzinibbio fight card in Buenos Aires, Argentina.",2018-11-17T00:00:04Z,"{'id': None, 'name': 'Bloodyelbow.com'}",UFC Fight Night: Magny vs. Ponzinibbio staff predictions,https://www.bloodyelbow.com/2018/11/16/18099357/ufc-fight-night-magny-vs-ponzinibbio-staff-picks-predictions,https://cdn.vox-cdn.com/thumbor/nAQ0YAbGhPJKVhwEEWre2HIObKA=/0x0:1820x953/fit-in/1200x630/cdn.vox-cdn.com/uploads/chorus_asset/file/13450223/staff_picks_argentina.png,470
7,Artemis Photiadou,"Since payments for MPs were introduced in the early 20th century, the rhetoric used to justify them has changed markedly. Initially, writes Nicholas Dickinson, any remuneration was almost always construed in terms of broadening democratic representation. Rela… [+7483 chars]","Since payments for MPs were introduced in the early 20th century, the rhetoric used to justify them has changed markedly. Initially, writes Nicholas Dickinson, any remuneration was almost always construed in terms of broadening democratic representation. Rela…",2018-11-17T00:00:05Z,"{'id': None, 'name': 'Lse.ac.uk'}",Why do we care what our politicians get paid?,http://blogs.lse.ac.uk/politicsandpolicy/why-do-we-care-what-our-politicians-get-paid/,http://blogs.lse.ac.uk/politicsandpolicy/files/2018/11/black-and-white-2561703_1920.jpg,387
8,besguerra,"Penghu, a sunny, coastal community off the west coast of mainland Taipei, is more than its white-sand beaches and pristine coasts. It’s also an exemplar of the best ecotourism and sustainability practices, which have earned it a spot on the “Most Beautiful Ba… [+8826 chars]",Taiwan’s (Formosa) best-kept secret is hidden in plain sight: islets of green dotting the crystal blue of Taiwan Strait. The post Taiwan’s islets of green proof of its commitment to environmental protection appeared first on Inquirer Lifestyle.,2018-11-17T00:00:44Z,"{'id': None, 'name': 'Inquirer.net'}",Taiwan’s islets of green proof of its commitment to environmental protection,https://lifestyle.inquirer.net/314044/taiwans-islets-of-green-proof-of-its-commitment-to-environmental-protection/,https://lifestyle.inquirer.net/files/2018/11/IMG_1731_web-620x256.jpg,630
9,Nick Hubble,"I was once a circus performer. And instructor. I can teach flying trapeze in English, German, French, Thai, Korean, Japanese and Chinese. The first thing you learn in the circus world is very helpful for investing. Always have a safety net. And learn how to f… [+4929 chars]","I was once a circus performer. And instructor. I can teach flying trapeze in English, German, French, Thai, Korean, Japanese and Chinese. The first thing you learn in the circus world is very helpful for investing. Always have a safety net. And learn how to f…",2018-11-17T00:00:49Z,"{'id': None, 'name': 'Dailyreckoning.com.au'}",The best safety net is a gilded one,https://www.dailyreckoning.com.au/the-best-safety-net-is-a-gilded-one/2018/11/17/,https://16uuc032rsb34ba9il28yw95-wpengine.netdna-ssl.com/wp-content/uploads/2018/11/The-best-safety-net-is-a-gilded-one.jpg,248
