,author,content,description,publishedAt,source,title,url,urlToImage,relevancy
0,"Jay Weaver, By Jay Weaver","MIAMI — He got his nickname, “Oxymonster,” for his impressive talent as a broker of opioid, heroin and cocaine deals on the dark web. He got caught peddling the illegal drugs on the internet because he traveled with his long, reddish-brown whiskers to compete… [+4310 chars]","MIAMI — He got his nickname, “Oxymonster,” for his impressive talent as a broker of opioid, heroin and cocaine deals on the dark web. He got caught peddling the illegal drugs on the internet because he traveled with his long, reddish-brown whiskers to compete…",2018-10-09T00:00:00Z,"{'id': None, 'name': 'Bostonherald.com'}",‘Oxymonster’ sentenced to 20 years for drug deals on dark web,http://www.bostonherald.com/news/national/2018/10/oxymonster_sentenced_to_20_years_for_drug_deals_on_dark_web,,93
1,"Auer, Claessens","Cryptocurrencies are often thought to operate out of the reach of national regulation. This column argues that in fact their valuations, transaction volumes, and user bases react substantially to news about regulatory actions. Because they rely on regulated f… [+10240 chars]","Cryptocurrencies are often thought to operate out of the reach of national regulation. This column argues that in fact their valuations, transaction volumes, and user bases react substantially to news about regulatory actions. Because they rely on regulated f…",2018-10-09T00:00:00Z,"{'id': None, 'name': 'Voxeu.org'}",Regulating cryptocurrencies: Assessing market reactions,https://voxeu.org/article/regulating-cryptocurrencies-assessing-market-reactions,https://voxeu.org/sites/default/files/image/FromMay2014/AdobeStock_206835120.jpeg,15
2,Bart Anderson,"A roundup of news, views and ideas from the mainstream press and the blogosphere. Click on the headline link to see the full article. The coming concrete crisis Vince Beiser, The Globa and Mail You may not realize it, but as you read this, you are probably su… [+4460 chars]",The coming concrete crisis  |  How plastic bags came to rule our lives  |  How to stop data centres from gobbling up the world’s electricity,2018-10-09T00:11:10Z,"{'id': None, 'name': 'Resilience.org'}",Hidden Costs – 8 Oct 2018,https://www.resilience.org/stories/2018-10-09/hidden-costs-8-oct-2018/,https://www.resilience.org/wp-content/uploads/2018/10/Have_a_nice_day_and_smiley_face_bag.jpg,138
3,Wilma Woo,"Venezuela posted its largest-ever Bitcoin trading volumes last week, data compiled October 6 confirms, as the country announced several new economic shake-ups. 7 Days, $7 Million Statistics covering P2P trading platform Localbitcoins show that Venezuelans con… [+1948 chars]","Venezuela posted its largest-ever Bitcoin trading volumes last week, data compiled October 6 confirms, as the country announced several new economic shake-ups. 7 Days, $7 Million Statistics covering P2P trading platform Localbitcoins show that Venezuelans con…",2018-10-09T01:00:22Z,"{'id': None, 'name': 'Bitcoinist.com'}",Venezuela Bitcoin Trading Hits New Record As Maduro Confirms Petro Launch,https://bitcoinist.com/venezuela-bitcoin-trading-hits-new-record-as-maduro-confirms-petro-launch/,https://bitcoinist.com/wp-content/uploads/2018/10/shutterstock_1095681107-1-980x613.jpg,54
4,Tim Smith,"Although Canada does not receive the same kudos for innovation and technological development as the United States, it punches above its weight when it comes to emerging financial technology (fintech) companies. Here's a look at five Canadian fintech companies… [+4188 chars]",These Canadian fintech companies have attracted the attention of some big-name investors and customers.,2018-10-09T01:26:00Z,"{'id': None, 'name': 'Investopedia.com'}",5 Canadian Fintech Companies to Watch,https://www.investopedia.com/articles/markets/081116/5-fintech-firms-emerging-canada-mftgf-vggof.asp,https://i.investopedia.com/inv/genericcontentimages/subchannel/markets/markets-economy/shutterstock_313802690.jpg,98
5,Tim Smith,"Although Canada does not receive the same kudos for innovation and technological development as the United States, it punches above its weight when it comes to emerging financial technology (fintech) companies. Here's a look at five Canadian fintech companies… [+4188 chars]",These Canadian fintech companies have attracted the attention of some big-name investors and customers.,2018-10-09T01:26:00Z,"{'id': None, 'name': 'Investopedia.com'}",5 Canadian Fintech Companies to Watch,https://www.investopedia.com/articles/markets/081116/5-fintech-firms-emerging-canada-mftgf-vggof.asp,https://i.investopedia.com/inv/genericcontentimages/subchannel/markets/markets-economy/shutterstock_313802690.jpg,133
6,"David Cottle, Analyst, David Cottle","IMF World Economic Outlook Talking Points: The IMF cut its global growth forecast Calls for the EU, US and China were all downgraded But Emerging Markets took the biggest hits Fourth-quarter technical and fundamental forecasts from the DailyFX analysts are ou… [+2327 chars]",The International Monetary Fund downgraded its global growth forecast with Emerging Markets taking most of the beating,2018-10-09T01:30:00Z,"{'id': None, 'name': 'Dailyfx.com'}",IMF Downgrades Global Growth Call Citing ’Unsettled’ Trade Picture,https://www.dailyfx.com/forex/market_alert/2018/10/09/IMF-Downgrades-Global-Growth-Call-Citing-Unsettled-Trade-Picture.html,,102
7,"David Cottle, Analyst, David Cottle","ASX 200 Technical Analysis Talking Points: The index has been above the key 6000 level for five months However that’s less than half the time it managed on the last occasion it got up here Bulls probably need to defend this point now Get live, interactive cov… [+2536 chars]",The ASX 200 is back once again within sight of the key 6000 level. If it gives way the bulls could find themselves in serious difficulty,2018-10-09T01:30:00Z,"{'id': None, 'name': 'Dailyfx.com'}",ASX 200 Technical Analysis: Crucial 6000 Support Back In Focus,https://www.dailyfx.com/forex/technical/home/analysis/aus200/2018/10/09/ASX-200-Technical-Analysis-Crucial-6000-Support-Back-In-Focus.html,,109
8,Shana Lebowitz,"Harj Taggar is a former partner at Y Combinator, the tech accelerator that launched a number of successful startups including Airbnb, Dropbox, and Instacart. He’s currently the cofounder and CEO of Triplebyte. Taggar said he and his YC partners placed a high … [+3772 chars]","Harj Taggar is a former partner at Y Combinator, the tech accelerator that launched a number of successful startups including Airbnb, Dropbox, and Instacart. He's currently the cofounder and CEO of Triplebyte. More »",2018-10-09T01:41:00Z,"{'id': None, 'name': 'Businessinsider.com.au'}",A former Y Combinator partner realised the most successful founders don't always look good on paper — there's a much more reliable sign they're destined for greatness,https://www.businessinsider.com.au/former-y-combinator-partner-founder-side-projects-2018-10,https://static.businessinsider.com/image/5bb7b30694750c62fe1338de-640.jpg,110
9,Kevin Jones,"As ZDNet reports how a hacker who spends an entire day trying to find a vulnerability in the source code of the Pigeoncoin cryptocurrency to steal 235 million PGN tokens and ended up realizing that it worth a mere $15,000. According to users of the BitcoinTal… [+2085 chars]","As ZDNet reports how a hacker who spends an entire day trying to find a vulnerability in the source code of the Pigeoncoin cryptocurrency to steal 235 million PGN tokens and ended up realizing that it worth a mere $15,000. According to users of the BitcoinTal…",2018-10-09T01:45:00Z,"{'id': None, 'name': 'Hackercombat.com'}",Hacker Learn the Hard Way after Spending Whole Day Hacking Pigeoncoin,https://hackercombat.com/hacker-learn-the-hard-way-after-spending-whole-day-hacking-pigeoncoin/,https://hackercombat.com/wp-content/uploads/2018/10/Hacker-Learn-the-Hard-Way-after-Spending-Whole-Day-Hacking-Pigeoncoin-300x200.jpg,91
