,author,content,description,publishedAt,source,title,url,urlToImage,relevancy
0,Bloomberg,"Javier Blas &amp; Kevin Crowley Friday, November 02, 2018 (Bloomberg) -- Exxon Mobil Corp. and Chevron Corp. delivered their strongest third-quarter results in four years, capping a week in which Big Oil enjoyed profits not seen since the days of $100 crude. … [+3570 chars]","ExxonMobil and Chevron deliver their strongest third-quarter results in four years, capping a week in which Big Oil enjoyed profits not seen since the days of $100 crude.",2018-11-02T00:00:00Z,"{'id': None, 'name': 'Rigzone.com'}",ExxonMobil and Chevron Report Strongest 3Q Results in 4 Years,https://www.rigzone.com/news/wire/exxonmobil_and_chevron_report_strongest_3q_results_in_4_years-02-nov-2018-157381-article/,https://images.rigzone.com/images/news/articles/157381_582x327.png,416
1,Tsvetana Paraskova,"TransCanada expects that the Nebraska Supreme Court could reach a decision on the Keystone XL route in the state by the first quarter of 2019, the Canadian pipeline operator which has been trying to build the pipeline for nearly a decade said in its Q3 earnin… [+2090 chars]","TransCanada expects that the Nebraska Supreme Court could reach a decision on the Keystone XL route in the state by the first quarter of 2019, the Canadian pipeline operator which has been trying to build the pipeline for nearly a decade said in its Q3 earnin…",2018-11-02T00:00:00Z,"{'id': None, 'name': 'Oilprice.com'}",TransCanada Expects Crucial Keystone XL Decision By Q1 2019,https://oilprice.com/Latest-Energy-News/World-News/TransCanada-Expects-Crucial-Keystone-XL-Decision-By-Q1-2019.html,https://d32r1sh890xpii.cloudfront.net/news/718x300/81409cdd817c6fc8323eb310f4035dca.jpg,413
2,Nick Cunningham,"Oil prices have fallen around 15 percent over the past month, and concerns about oversupply have rushed back. OPEC and the U.S. are both adding enormous volumes of fresh supply, threatening to create a bear market for crude. However, the souring market sentim… [+4598 chars]","Oil prices have fallen around 15 percent over the past month, and concerns about oversupply have rushed back. OPEC and the U.S. are both adding enormous volumes of fresh supply, threatening to create a bear market for crude. However, the souring market sentim…",2018-11-02T00:00:00Z,"{'id': None, 'name': 'Oilprice.com'}",Goldman Sachs: Brent To Hit $80 Before Year-End,https://oilprice.com/Energy/Energy-General/Goldman-Sachs-Brent-To-Hit-80-Before-Year-End.html,https://d32r1sh890xpii.cloudfront.net/article/718x300/a61c6038312e7f0719bbf0cd8de53dab.jpg,367
3,Matthew V. Veazey,"Rigzone Staff Friday, November 02, 2018 The December futures price for West Texas Intermediate (WTI) crude oil fell 55 cents Friday to settle at $63.14 a barrel, translating into a 6.6-percent decline since October 26. Posting a smaller 6-cent loss Friday was… [+3320 chars]","The ongoing slump in global and US stock markets has dampened the energy demand outlook, and a stronger US dollar earlier this week hasn't helped.",2018-11-02T00:00:00Z,"{'id': None, 'name': 'Rigzone.com'}",Crude Oil Down Six-plus Percent for Week,https://www.rigzone.com/news/crude_oil_down_sixplus_percent_for_week-02-nov-2018-157385-article/,https://images.rigzone.com/images/news/articles/157385_582x327.png,407
4,Bloomberg,"Kevin Orland Friday, November 02, 2018 (Bloomberg) -- The sun will come out tomorrow, or at least some time next year. That’s the message from Canadian oil producers suffering from the worst domestic glut in at least a decade. Even as prices dipped to new low… [+3866 chars]","The sun will come out tomorrow, or at least some time next year. That's the message from Canadian oil producers suffering from the worst domestic glut in at least a decade.",2018-11-02T00:00:00Z,"{'id': None, 'name': 'Rigzone.com'}",Oil Producers in Canada Look to Rosier Future,https://www.rigzone.com/news/wire/oil_producers_in_canada_look_to_rosier_future-02-nov-2018-157383-article/,https://images.rigzone.com/images/news/articles/157383_582x327.png,138
5,Bloomberg,"Friday, November 02, 2018 (Bloomberg) -- Midnight on Sunday will mark a dividing line in the world of oil. Beyond that point, anyone unloading a tanker from Iran risks the full wrath of the U.S. government. The Middle East’s third-biggest oil producer has alr… [+4333 chars]","Beyond that point, anyone unloading a tanker from Iran risks the full wrath of the U.S. government.",2018-11-02T00:00:00Z,"{'id': None, 'name': 'Rigzone.com'}",Sunday Midnight Will Mark Dividing Line in Oil World,https://www.rigzone.com/news/wire/sunday_midnight_will_mark_dividing_line_in_oil_world-02-nov-2018-157373-article/?all=hg2,https://images.rigzone.com/images/news/articles/157373_582x327.png,329
6,Nick Cunningham,"OPEC and the U.S. are together adding enormous volumes of new supply, which together have softened the oil market. In October, OPEC hiked oil production to the highest level since 2016, back before the oil production cuts went into effect, according to a rece… [+4657 chars]","OPEC and the U.S. are together adding enormous volumes of new supply, which together have softened the oil market. In October, OPEC hiked oil production to the highest level since 2016, back before the oil production cuts went into effect, according to a rece…",2018-11-02T00:00:00Z,"{'id': None, 'name': 'Oilprice.com'}",U.S. And OPEC Flood Oil Market Ahead Of Midterms,https://oilprice.com/Energy/Crude-Oil/US-And-OPEC-Flood-Oil-Market-Ahead-Of-Midterms.html,https://d32r1sh890xpii.cloudfront.net/article/718x300/0268bc16dab636fe39073381a246bf48.jpg,381
7,Bloomberg,"Tsuyoshi Inajima Friday, November 02, 2018 (Bloomberg) -- Oil’s set for the biggest weekly loss since February as fears over a supply disruption eased as the U.S. was said to agree on giving waivers to eight nations to continue importing Iranian crude after i… [+3457 chars]",Oil's set for the biggest weekly loss since February.,2018-11-02T00:00:00Z,"{'id': None, 'name': 'Rigzone.com'}",Oil Set for Worst Week Since February,https://www.rigzone.com/news/wire/oil_set_for_worst_week_since_february-02-nov-2018-157374-article/,https://images.rigzone.com/images/news/articles/157374_582x327.png,127
8,https://www.facebook.com/MalaysiaKini/,Today will go down in history as the first federal budget that will be tabled in Parliament by a new government since Independence in 1957. The Pakatan Harapan-led government’s 2019 Budget will be presented by Finance Minister Lim Guan Eng at 4pm. While the e… [+2427 chars],Finance Minister Lim Guan Eng will be presenting the 2019 Budget to Parliament at 4pm.,2018-11-02T00:25:00Z,"{'id': None, 'name': 'Malaysiakini.com'}","After 61 years, a new gov't to table first budget",https://www.malaysiakini.com/news/450067,https://i.malaysiakini.com/1327/0d7b45910bb7c4c99518ced0dcac40f7.jpeg,185
9,Kourosh Ziabari,"In this edition of The Interview, Fair Observer talks to Barbara Slavin, director of the Future of Iran Initiative at the Atlantic Council. Withdrawing from the Joint Comprehensive Plan of Action (JCPOA), popularly known as the Iran nuclear deal, was one of U… [+7088 chars]","In this edition of The Interview, Fair Observer talks to Barbara Slavin, director of the Future of Iran Initiative at the Atlantic Council. Withdrawing from the Joint Comprehensive Plan of Action (JCPOA), popularly known as the Iran nuclear deal, was one of U…",2018-11-02T00:36:27Z,"{'id': None, 'name': 'Fairobserver.com'}",Donald Trump Enjoys Destroying Barack Obama’s Achievements,https://www.fairobserver.com/region/north_america/donald-trump-legacy-of-barack-obama-iran-nuclear-deal-32409/,https://www.fairobserver.com/wp-content/uploads/2018/11/Legacy-of-Barack-Obama-Barack-Obama-Obama-news-Barack-Obama-news-1.jpg,436
10,SA Transcripts,"MPLX LP (NYSE: MPLX ) Q3 2018 Earnings Conference Call November 1, 2018 11:00 AM ET Executives Kristina Kazarian - IR Gary Heminger - Chairman and CEO Mike Hennigan - President Pamela Beall - CFO Gregory Floerke - EVP, Gathering and Processing John Swearingen… [+37726 chars]","MPLX LP (NYSE:MPLX) Q3 2018 Earnings Conference Call November 1, 2018 11:00 AM ET Executives Kristina Kazarian - IR Gary Heminger - Chairman and CEO Mike Hennig",2018-11-02T00:38:06Z,"{'id': None, 'name': 'Seekingalpha.com'}",MPLX LP (MPLX) CEO Gary Heminger on Q3 2018 Results - Earnings Call Transcript,https://seekingalpha.com/article/4217357-mplx-lp-mplx-ceo-gary-heminger-q3-2018-results-earnings-call-transcript,https://static3.seekingalpha.com/assets/og_image_192-59bfd51c9fe6af025b2f9f96c807e46f8e2f06c5ae787b15bf1423e6c676d4db.png,403
11,Express News Service,"Gujarat Chief Minister Vijay Rupani (Express archive photo) Claiming that the Vibrant Gujarat Summit, being organised since 2003, has created job opportunities in the state, Chief Minister Vijay Rupani on Thursday said that Gujarat is considered an ideal stat… [+2741 chars]","“Gujarat has the best urban infrastructure, a business-friendly atmosphere and zero-level unrest and so today Gujarat is considered to be an ideal state for migrations,” Rupani said.",2018-11-02T00:38:11Z,"{'id': None, 'name': 'Indianexpress.com'}",Gujarat with zero unrest is ideal state for migration: CM Vijay Rupani,https://indianexpress.com/article/cities/ahmedabad/gujarat-with-zero-unrest-is-ideal-state-for-migration-chief-minister-vijay-rupani-5430401/,https://images.indianexpress.com/2018/05/vijay-rupani-7591.jpg?w=759,99
12,The Canadian Press,"CALGARY—The Petroleum Services Association of Canada is predicting more pain for the oil and gas sector next year. It predicts a total of 6,600 wells will be drilled in Canada in 2019, down about five per cent from an expected 6,980 wells this year, adding th… [+840 chars]","The Petroleum Services Association of Canada predicts a total of 6,600 wells will be drilled in Canada in 2019, down about five per cent from an expected 6,980 wells this year.",2018-11-02T00:38:42Z,"{'id': None, 'name': 'Thestar.com'}",Service sector predicts Canadian drilling activity will fall even more in 2019,https://www.thestar.com/business/2018/11/01/service-sector-predicts-canadian-drilling-activity-will-fall-even-more-in-2019.html,https://images.thestar.com/CGOFK6K4UKRxTxROQpy-3ov_0OE=/1200x825/smart/filters:cb(1541121841001)/https://www.thestar.com/content/dam/thestar/business/2018/11/01/service-sector-predicts-canadian-drilling-activity-will-fall-even-more-in-2019/drilling.jpg,394
13,https://www.dailymail.co.uk/home/search.html?s=&authornamef=Reuters,"By Henning Gloystein SINGAPORE, Nov 2 (Reuters) - Oil prices dipped on Friday as record crude output by the world's top-three producers offset supply concerns from the start of U.S. sanctions next week against Iran's petroleum exports. Front-month Brent crude… [+2730 chars]","By Henning GloysteinSINGAPORE, Nov 2 (Reuters) - Oil prices dipped on Friday as  record crude output by the world's top-three producers offset  supply...",2018-11-02T00:53:37Z,"{'id': 'daily-mail', 'name': 'Daily Mail'}","Oil under pressure from rising output, but Iran...",https://www.dailymail.co.uk/wires/reuters/article-6344491/Oil-pressure-rising-output-Iran-sanctions-loom.html,https://i.dailymail.co.uk/i/pix/m_logo_636x382px.png,237
14,Achilles Research,"Chesapeake Energy Corp. ( CHK ) is a ""Strong Buy"" on the drop. Shares of the oil and natural gas driller correctly fell sharply in the last couple of days on sliding crude oil prices and a new deal announcement. That said, I see the most recent dip as a healt… [+4469 chars]","Chesapeake Energy's shares have dropped off sharply in October. The drop is a buying opportunity, in my opinion. I discuss the latest transaction. Shares sell f",2018-11-02T00:55:07Z,"{'id': None, 'name': 'Seekingalpha.com'}",Chesapeake Energy Is A Strong Buy On The Drop,https://seekingalpha.com/article/4217353-chesapeake-energy-strong-buy-drop,https://static3.seekingalpha.com/uploads/2018/10/31/15103192-15409753959872882.png,212
15,Catherine Garcia,"The United States has surpassed Russia as the world's top producer of crude oil, the U.S. Department of Energy said Thursday. In August, America produced more than 11.3 million barrels of oil per day, beating the July record of 10.9 barrels, reports The Assoc… [+1025 chars]","On Thursday, Oprah Winfrey fired up a crowd in Marietta, Georgia, while campaigning for the state's Democratic gubernatorial candidate, Stacey Abrams.
Abrams is running against Republican Brian Kemp, who is also Georgia's secretary of state and overseeing the…",2018-11-02T00:55:14Z,"{'id': None, 'name': 'Theweek.com'}",Oprah Winfrey campaigns for Democrat Stacey Abrams in Georgia,https://theweek.com/speedreads/805260/oprah-winfrey-campaigns-democrat-stacey-abrams-georgia,https://images.theweek.com/sites/default/files/styles/tw_image_6_4/public/gettyimages-1056086520.jpg?itok=Npg19VR6,104
16,Henning Gloystein,"SINGAPORE (Reuters) - Oil prices dipped on Friday as record crude output by the world’s top-three producers offset supply concerns from the start of U.S. sanctions next week against Iran’s petroleum exports. Front-month Brent crude futures LCOc1, the internat… [+2636 chars]",Oil prices dipped on Friday as record crude output by the world's top-three producers offset supply concerns from the start of U.S. sanctions next week against Iran's petroleum exports.',2018-11-02T00:59:25Z,"{'id': 'reuters', 'name': 'Reuters'}","Oil under pressure from rising output, but Iran sanctions loom",https://www.reuters.com/article/us-global-oil/oil-under-pressure-from-rising-output-but-iran-sanctions-loom-idUSKCN1N7024,https://s2.reutersmedia.net/resources/r/?m=02&d=20181102&t=2&i=1321122017&w=1200&r=LYNXNPEEA101C,480
17,Henning Gloystein,"SINGAPORE (Reuters) - Oil prices dipped on Friday as record crude output by the world’s top-three producers offset supply concerns from the start of U.S. sanctions next week against Iran’s petroleum exports. Front-month Brent crude futures LCOc1, the internat… [+2729 chars]",Oil prices dipped on Friday as record crude output by the world's top-three producers offset supply concerns from the start of U.S. sanctions next week against Iran's petroleum exports.,2018-11-02T00:59:39Z,"{'id': 'reuters', 'name': 'Reuters'}","Oil under pressure from rising output, but Iran sanctions loom",https://uk.reuters.com/article/uk-global-oil/oil-under-pressure-from-rising-output-but-iran-sanctions-loom-idUKKCN1N7026,https://s2.reutersmedia.net/resources/r/?m=02&d=20181102&t=2&i=1321122138&w=1200&r=LYNXNPEEA101D,482
18,Henning Gloystein,"SINGAPORE (Reuters) - Oil prices dipped on Friday as record crude output by the world’s top-three producers offset supply concerns from the start of U.S. sanctions next week against Iran’s petroleum exports. Front-month Brent crude futures LCOc1, the internat… [+2636 chars]",Oil prices dipped on Friday as record crude output by the world's top-three producers offset supply concerns from the start of U.S. sanctions next week against Iran's petroleum exports.,2018-11-02T01:01:24Z,"{'id': 'reuters', 'name': 'Reuters'}","Oil under pressure from rising output, but Iran sanctions loom",https://in.reuters.com/article/global-oil/oil-under-pressure-from-rising-output-but-iran-sanctions-loom-idINKCN1N702C,https://s2.reutersmedia.net/resources/r/?m=02&d=20181102&t=2&i=1321123095&w=1200&r=LYNXNPEEA101F,250
