,author,content,description,publishedAt,source,title,url,urlToImage,relevancy
0,"Jim Puzzanghera, By Jim Puzzanghera","WASHINGTON — There may not be an alert on your iPhone yet, but it looks as if the years-long stock market party might just be over. A recent plunge in share prices of U.S. technology giants spread like a software virus through the entire market Tuesday, trigg… [+6767 chars]","WASHINGTON — There may not be an alert on your iPhone yet, but it looks as if the years-long stock market party might just be over. A recent plunge in share prices of U.S. technology giants spread like a software virus through the entire market Tuesday, trigg…",2018-11-21T00:00:00Z,"{'id': None, 'name': 'Bostonherald.com'}",Tech-driven stock market plunge raises worries long rally is finally over,http://www.bostonherald.com/business/business_markets/2018/11/tech_driven_stock_market_plunge_raises_worries_long_rally_is,http://www.bostonherald.com/sites/default/files/styles/full/public/media/2018/11/21/AP18324741451465.jpg?itok=61uPwdRj,163
1,Patrick Gray,"This edition of the show features Adam Boileau and Patrick Gray discussing the weeks security news: Cozy Bear is back, Fancy Bear has new tooling Russian government wants DNC lawsuit thrown out Cyber Command submitting samples to VirusTotal Google BGP shenani… [+637 chars]","This edition of the show features Adam Boileau and Patrick Gray discussing the week’s security news: Cozy Bear is back, Fancy Bear has new tooling Russian government wants DNC lawsuit thrown out Cyber Command submitting samples to VirusTotal Google BGP shenan…",2018-11-21T00:00:00Z,"{'id': None, 'name': 'Risky.biz'}",Risky Business #521 -- Bears everywhere,https://risky.biz/RB521/,,101
2,,"The 10 highest-rated articles on Hacker News on November 20, 2018 which have not appeared on any previous Hacker News Daily are: Hacker News Daily is sponsored by Triplebyte. Beat Triplebyte's online coding quiz. Get multiple job offers fast. Skip resumes &am… [+13 chars]","The 10 highest-rated articles on Hacker News on November 20, 2018 which have not appeared on any previous Hacker News Daily are: Post-REST (comments) Show HN: Self-Driving Pi Car (comments) Web scraping case fails under Supreme Court's Dastar doctrine (commen…",2018-11-21T00:00:00Z,"{'id': None, 'name': 'Daemonology.net'}",Daily Hacker News for 2018-11-20,http://www.daemonology.net/hn-daily/2018-11-20.html,,103
3,Anastasis Vasileiadis,"If you’ve grown bored of day-to-day hacking and need a new toy to experiment with, we’ve compiled a list of gadgets to help you take password cracking and wireless hacking to the next level. If you’re not a white hat or pentester yourself but have one to shop… [+12083 chars]","If you’ve grown bored of day-to-day hacking and need a new toy to experiment with, we’ve compiled a list of gadgets to help you take password cracking and wireless hacking to the next level. If you’re not a white hat or pentester yourself but have one to shop…",2018-11-21T00:21:00Z,"{'id': None, 'name': 'Prodefence.org'}",10 Essential Gadgets Every Hacker Should Try,http://www.prodefence.org/10-essential-gadgets-every-hacker-should-try/,http://www.prodefence.org/wp-content/uploads/2018/11/herramientas-hacker.jpg,224
4,Christian Zilles,"There have been a number of different ideas about the future of social media in the wake of the Facebook Cambridge Analytica scandal. Some have suggested that Facebook needs to be regulated, much like any other communications or media company. Others have sug… [+5573 chars]","There have been a number of different ideas about the future of social media in the wake of the Facebook Cambridge Analytica scandal. Some have suggested that Facebook needs to be regulated, much like any other...read more",2018-11-21T00:32:43Z,"{'id': None, 'name': 'Socialmediaexplorer.com'}",Why Decentralizing Social Media Makes Sense - Social Media Explorer,https://socialmediaexplorer.com/social-media-marketing/why-decentralizing-social-media-makes-sense/,https://i1.wp.com/socialmediaexplorer.com/wp-content/uploads/2018/08/shutterstock_1125547331.jpg?fit=750%2C400&ssl=1,225
5,The Star Online,"LONDON: Bitcoin slumped on Tuesday to its lowest this year, tumbling as much as 10 percent to breach $4,300 and taking losses in the world's best-known digital coin to 25 percent within a week. Other smaller coins also skidded sharply as a broader cryptocurre… [+3390 chars]","LONDON: Bitcoin slumped on Tuesday to its lowest this year, tumbling as much as 10 percent to breach $4,300 and taking losses in the world's best-known digital coin to 25 percent within a week.",2018-11-21T00:42:22Z,"{'id': None, 'name': 'Thestar.com.my'}","Bitcoin crashes to lowest this year, losses top 25% in a week",http://www.thestar.com.my/business/business-news/2018/11/21/bitcoin-crashes-to-lowest-this-year-losses-top-25-percent-in-a-week/,https://www.thestar.com.my/~/media/online/2018/02/22/06/03/bitcoin.ashx/?w=620&h=413&crop=1&hash=3B3B603FAD815D653DB3F5987E7FE9AE0B77D3E7,96
6,Jim Puzzanghera,"There may not be an alert on your iPhone yet, but it looks as if the years-long stock market party might just be over. A recent plunge in share prices of U.S. technology giants spread like a software virus through the entire market Tuesday, triggering a broad… [+6325 chars]","There may not be an alert on your iPhone yet, but it looks as if the years-long stock market party might just be over. A recent plunge in share prices of U.S. technology giants spread like a software virus through the entire market Tuesday, triggering a broad…",2018-11-21T00:50:00Z,"{'id': None, 'name': 'Latimes.com'}",Tech-driven stock market plunge raises worries long rally is finally over,https://www.latimes.com/business/la-fi-stock-market-decline-20181120-story.html,https://www.latimes.com/resizer/NJ6FiKTt3144qE7kl8aTXhI1tJA=/1200x0/arc-anglerfish-arc2-prod-tronc.s3.amazonaws.com/public/ONJTMV5FJZA3JHVJTPHFYRWG3E.jpg,188
7,Jasmin Boyce,"Get breaking news alerts and special reports. The news and stories that matter, delivered weekday mornings. SUBSCRIBE Nov. 21, 2018 / 1:09 AM GMT Bitcoin plunged below $5,000 on Monday, adding to what has turned into nightmare 2018 for investors who touted th… [+3458 chars]",Declining prices have been met by growing skepticism around the cryptocurrency and exacerbated by claims that previous price increases were artificially inflated.,2018-11-21T01:09:00Z,"{'id': 'nbc-news', 'name': 'NBC News'}","Bitcoin plunges below $5,000 amid rough 2018 for cryptocurrencies",https://www.nbcnews.com/tech/tech-news/bitcoin-plunges-below-5-000-amid-rough-2018-cryptocurrencies-n938711,https://media4.s-nbcnews.com/j/newscms/2018_42/2611126/181019-cryptojacking-mc-13332_32ac2102279e174e649d10f51b24c827.1200;630;7;70;5.JPG,93
8,"Vildana Hajric, Elena Popina and Lu Wang","There was no place to hide from Tuesdays market declines: The S&amp;P 500 erased its gain for 2018, oil tumbled to a one-year low and an ETF tracking junk bonds capped its worst streak of declines since 2014. One of the toughest years for financial markets in… [+4558 chars]","There was no place to hide from Tuesday’s market declines: The S&P 500 erased its gain for 2018, oil tumbled to a one-year low and an ETF tracking junk bonds capped its worst streak of declines since 2014.",2018-11-21T01:11:27Z,"{'id': None, 'name': 'Seattletimes.com'}",Worst day of an awful year leaves no corner of U.S. financial markets unscathed,https://www.seattletimes.com/business/worst-day-of-an-awful-year-leaves-no-corner-of-u-s-financial-markets-unscathed/,https://static.seattletimes.com/wp-content/uploads/2018/11/51a9c3e0-ed15-11e8-a3b3-559edbe0e350-1200x630.jpg,131
9,"By Jim Puzzanghera, Los Angeles Times","WASHINGTON - There may not be an alert on your iPhone yet, but it looks as if the years-long stock market party might just be over. A recent plunge in share prices of U.S. technology giants spread like a software virus through the entire market Tuesday, trigg… [+6696 chars]","WASHINGTON - There may not be an alert on your iPhone yet, but it looks as if the years-long stock market party might just be over. A recent plunge in share prices of U.S. technology giants spread like a software…",2018-11-21T01:14:00Z,"{'id': None, 'name': 'Mctdirect.com'}",Tech-driven stock market plunge raises worries long rally is finally over,http://www.mctdirect.com/preview.php?id=201811202014MCT_____NEWS_SVC_24151208_0000,https://bloximages.newyork1.vip.townnews.com/stltoday.com/content/tncms/custom/image/4ce82390-59b2-11e6-a3c5-b77ec6e8d16d.png,226
