,author,content,description,publishedAt,source,title,url,urlToImage,relevancy
0,Tim Baysinger,"When 2018 began, the Bitcoin bubble had yet to burst. The cryptocurrency leader’s value was riding high in December, peaking at almost $19,000 before that market took a swift downturn. But for those knee-deep in the cryptocurrency and blockchain world, that d… [+6466 chars]","When 2018 began, the Bitcoin bubble had yet to burst. The cryptocurrency leader’s value was riding high in December, peaking at almost $19,000 before that market took a swift downturn. But for those knee-deep in the cryptocurrency and blockchain world, that d…",2018-10-02T00:35:47Z,"{'id': None, 'name': 'Thewrap.com'}",Why the Dive in the Cryptocurrency Marketplace Is Good: ‘Gets Rid of a Lot of The Fat’,http://www.thewrap.com/why-the-dive-in-the-cryptocurrency-marketplace-is-actually-a-good-thing-gets-rid-of-a-lot-of-the-fat/,https://www.thewrap.com/wp-content/uploads/2018/10/TheGrill2018_shot_by_Randy_Shropshire-129.jpg,53
1,"Michael del Castillo, Forbes Staff, Michael del Castillo, Forbes Staff https://www.forbes.com/sites/michaeldelcastillo/","Federal Reserve Bank of Boston vice-president Jim Cunha on stage with Forbes reporter Michael del Castillo at the Forbes 30 Under 30 Summit in Boston. (October 1, 2018) Randy Pekich The Federal Reserve Bank of Boston is just a ten-minute walk from Bostons Cit… [+9193 chars]","This central banker may not trust outsiders with the U.S. dollar, but he's part of a larger push around the world to re-imagine monetary systems.",2018-10-02T00:48:31Z,"{'id': None, 'name': 'Forbes.com'}",Federal Reserve VP Describes The Limits Cryptocurrency Partnerships,https://www.forbes.com/sites/michaeldelcastillo/2018/10/01/federal-reserve-vp-describes-the-limits-cryptocurrency-partnerships/,https://thumbor.forbes.com/thumbor/600x315/https%3A%2F%2Fspecials-images.forbesimg.com%2Fimageserve%2F5bb292fea7ea4342a9494407%2F960x0.jpg,48
2,Cho Mu-Hyun,"In 2013, Huobi co-founder Jun Du registered the domain name Huobi -- which means literally ""hot currency"" -- as a website for trading cryptocurrency. Bitcoin prices were fast rising to surpass $1,000 that year. The founding members felt they had found somethi… [+12220 chars]",Cryptocurrency trading platforms like Huobi are gearing up to launch and transfer their operations on public chains that anybody can take part in. Will 2019 see the next evolution of blockchain and bring about large-scale decentralised autonomous organisation…,2018-10-02T01:07:34Z,"{'id': None, 'name': 'Zdnet.com'}",​China's Huobi and the rise of new public blockchains in 2019,https://www.zdnet.com/article/chinas-huobi-and-the-rise-of-new-public-chains-in-2019/,https://zdnet4.cbsistatic.com/hub/i/r/2018/08/28/94f61da2-6e5c-4018-b48e-348d3f7b8fd8/thumbnail/770x578/8917a3d2f82f923e80e24cd88323a001/huobi-5.png,88
3,Josiah Wilmoth,"Though many bitcoin investors believe multi-layer scaling solutions such as the Lightning Network (LN) will eventually make BTC a viable payment instrument for the proverbial coffee purchase, most argue that the flagship cryptocurrencys primary short-term use… [+2812 chars]","Though many bitcoin investors believe multi-layer scaling solutions such as the Lightning Network (LN) will eventually make BTC a viable payment instrument for the proverbial coffee purchase, most argue that the flagship cryptocurrency’s primary short-term us…",2018-10-02T01:15:24Z,"{'id': 'crypto-coins-news', 'name': 'Crypto Coins News'}",Bitcoin Will Not Challenge Gold as a Safe-Haven Asset: Equity Analyst,https://www.ccn.com/bitcoin-will-not-challenge-gold-as-a-safe-haven-asset-equity-analyst/,https://www.ccn.com/wp-content/uploads/2017/11/Bitcoin-v-gold.jpg,25
4,TEMCO,"TEMCO aims to disrupt the supply chain management system. Contemporary supply chains fall short during the pre-delivery stages in the supply chain. By utilizing bitcoin smart contracts blockchain technology, TEMCO aims to reinvent the supply chain process. En… [+1985 chars]","SEOUL, South Korea, Oct. 1, 2018 /PRNewswire/ -- TEMCO, Korean startup preparing supply chain based on bitcoin (RSK), said it has successfully secured institutional investment from ""Korea Investment Partners"" (KIP), the foremost leading venture capital of Kor…",2018-10-02T01:21:00Z,"{'id': None, 'name': 'Prnewswire.com'}","TEMCO Secures Investment from No. 1 Korean Venture Capital ""Korea Investment Partners""",https://www.prnewswire.com/news-releases/temco-secures-investment-from-no-1-korean-venture-capital-korea-investment-partners-300720930.html,https://mma.prnewswire.com/media/751550/TEMCO_Secures_Investment_from_KIP.jpg?p=facebook,139
5,,"SEOUL, South Korea, Oct. 1, 2018 /PRNewswire/ -- TEMCO, Korean startup preparing supply chain based on bitcoin (RSK), said it has successfully secured institutional investment from ""Korea Investment Partners"" (KIP), the foremost leading venture capital of Kor… [+2768 chars]","SEOUL, South Korea, Oct. 1, 2018 /PRNewswire/ -- TEMCO, Korean startup preparing supply chain based on bitcoin (RSK), said it has successfully secured institutional investment from ""Korea Investment Partners"" (KIP), the foremost leading venture capital of Kor…",2018-10-02T01:21:36Z,"{'id': None, 'name': 'Sys-con.com'}","TEMCO Secures Investment from No. 1 Korean Venture Capital ""Korea Investment Partners""",http://news.sys-con.com/node/4325108,,149
6,Steven Musil,"California has declared open season on the use of bots to try to secretly influence elections. Legislation signed by California Gov. Jerry Brown on Friday makes it illegal to use automated online programs, or bots, to try to influence voters' opinions during … [+2591 chars]",New law will force businesses or individuals using automated programs to reveal their artificial nature if they attempt to influence political opinion.,2018-10-02T01:24:26Z,"{'id': None, 'name': 'Cnet.com'}",California bans bots secretly trying to sway elections - CNET,https://www.cnet.com/news/california-bans-bots-secretly-trying-to-sway-elections/,https://cnet2.cbsistatic.com/img/eyMOzUPz0e8XfhHE9zsc6KwxX9I=/724x407/2018/10/02/432db51b-a387-4d7c-a4c7-e8a31407fb39/gettyimages-661495660.jpg,7
7,Art Moore,"Just as the Justice Department and lawmakers threaten antitrust action against Google, Facebook and others, a new market-based challenge has been launched that may be a harbinger of the decentralized web of unlimited entrepreneurship envisioned by tech prophe… [+4845 chars]","Just as the Justice Department and lawmakers threaten antitrust action against Google, Facebook and others, a new market-based challenge has been launched that may be a harbinger of the decentralized web of unlimited entrepreneurship envisioned by tech prophe…",2018-10-02T01:27:27Z,"{'id': None, 'name': 'Wnd.com'}",Tech icon: 'New order' on web underway,https://www.wnd.com/2018/10/tech-icon-new-order-on-web-underway/,https://www.wnd.com/files/2017/05/internet-of-things-2-e1513293004742.jpg,140
8,Sebastian Sinclair,"Down 23.21 percent, MIOTA, the cryptocurrency that powers the IOTA software, has officially ended September's trading period as the biggest loser among the largest 25 crypto assets by market capitalization. Data reveals MIOTA limped across the finish line as … [+3802 chars]",IOTA tanked in September after an attempt by the bulls to stem the bleeding seen toward the end of August's monthly highs failed.,2018-10-02T02:00:10Z,"{'id': None, 'name': 'Coindesk.com'}",IOTA Ends September With Steepest Decline Among Top Crypto Assets,https://www.coindesk.com/iota-ends-september-with-steepest-decline-among-top-crypto-assets/,https://media.coindesk.com/uploads/2018/10/drop-dollar-e1538443566156.jpg,69
9,Dalmas Ngetich,"After three weeks of bulls, Bitcoin prices are yet to breach the $6,800–$7,200 main resistance zone. With this, bears are in control as Sep 5 bearish pattern overshadow buy attempts. Remember, this is printing at the time when investors, market influencers an… [+3442 chars]","After three weeks of bulls, Bitcoin prices are yet to breach the $6,800–$7,200 main resistance zone. With this, bears are in control as Sep 5 bearish pattern overshadow buy attempts. Remember, this is printing at the time when investors, market influencers an…",2018-10-02T02:00:25Z,"{'id': None, 'name': 'Newsbtc.com'}","Bitcoin Price Analysis: Failure of Buyers to Close Above $7,000 is Bearish for BTC",https://www.newsbtc.com/2018/10/02/bitcoin-price-analysis-2/,https://s3.amazonaws.com/main-newsbtc-images/2018/08/23144829/techanalysis-btc4.jpg,56
