,author,content,description,publishedAt,source,title,url,urlToImage,relevancy
0,https://www.facebook.com/bbcnews,Image copyright Reuters Image caption Donald Trump has signed a document that reinstates sanctions against Iran The re-imposition of the full panoply of sanctions against Iran that were waived under the Joint Comprehensive Plan of Action (JCPOA) nuclear agree… [+8607 chars],BBC News Trump re-imposes Iran sanctions: Now what? BBC News The re-imposition of the full panoply of sanctions against Iran that were waived under the Joint Comprehensive Plan of Action (JCPOA) nuclear agreement marks a high-point for President Donald Trump'…,2018-11-03T00:04:54Z,"{'id': None, 'name': 'Bbc.com'}",Trump re-imposes Iran sanctions: Now what? - BBC News,https://www.bbc.com/news/world-middle-east-46075179,https://ichef.bbci.co.uk/news/1024/branded_news/148F7/production/_104151248_050339639.jpg,16
1,SA Transcripts,"DHT Holdings, Inc. (NYSE: DHT ) Q3 2018 Earnings Conference Call November 2, 2018 8:00 AM ET Executives Laila Halvorsen Chief Financial Officer Svein Harfjeld Co-Chief Executive Officer Trygve Munthe Co-Chief Executive Officer Analysts Jon Chappell Evercore R… [+42689 chars]","DHT Holdings, Inc. (NYSE:DHT) Q3 2018 Earnings Conference Call November 2, 2018 8:00 AM ET Executives Laila Halvorsen – Chief Financial Officer Svein Harfjeld –",2018-11-03T00:07:07Z,"{'id': None, 'name': 'Seekingalpha.com'}",DHT Holdings' (DHT) CEO Svein Harfjeld on Q3 2018 Results - Earnings Call Transcript,https://seekingalpha.com/article/4217815-dht-holdings-dht-ceo-svein-harfjeld-q3-2018-results-earnings-call-transcript,https://static3.seekingalpha.com/assets/og_image_192-59bfd51c9fe6af025b2f9f96c807e46f8e2f06c5ae787b15bf1423e6c676d4db.png,63
2,"No Author, No Author","WASHINGTON The United States said on Friday it will temporarily allow eight importers to keep buying Iranian oil when it reimposes sanctions on Monday to try to force Iran to curb its nuclear, missile and regional activities. Pompeo said he will name the “jur… [+4836 chars]",The United States said on Friday it will temporarily allow eight importers to keep buying Iranian oil when it reimposes sanctions on Monday to try to force,2018-11-03T00:09:20Z,"{'id': None, 'name': 'Japantimes.co.jp'}",U.S. set to give Japan and seven other nations oil waivers as White House reimposes Iran sanctions,https://www.japantimes.co.jp/news/2018/11/03/business/u-s-give-japan-seven-nations-oil-waivers-iran-sanctions-source/,https://cdn.japantimes.2xx.jp/wp-content/uploads/2018/11/b-waivers-a-20181103-870x569.jpg,92
3,Shubhajit Roy,"Written by Shubhajit Roy | Published: November 3, 2018 6:06:45 am His Twitter post on Friday India is likely to be one of eight countries which can temporarily import oil from Iran post sanctions, sources indicated Friday, after US Secretary of State Michael … [+5833 chars]","US Secretary of State Mike Pompeo said that countries like India, if granted exemption, would be asked to bring down oil imports from Iran to zero in six months",2018-11-03T00:36:45Z,"{'id': None, 'name': 'Indianexpress.com'}","India among eight likely to get Iran oil waiver, US sanctions November 5",https://indianexpress.com/article/world/india-among-eight-likely-to-get-iran-oil-waiver-us-sanctions-november-5-5432261/,https://images.indianexpress.com/2018/11/trump-759.jpg?w=759,3
4,Derrick Penner,"Asian oil buyers have increased their purchases of cheap Alberta crude in recent months as the world suppy of grades of heavy oil shrinks, according to industry analysts. “Anybody who can get their hands on Canadian crude is going to want to get their hands o… [+3278 chars]","Geared up for heavy oil, refiners are anxious to get their hands on bitumen to produce products such as asphalt and tar for infrastructure projects.",2018-11-03T00:41:39Z,"{'id': None, 'name': 'Vancouversun.com'}",Chinese buyers ramp up purchases of cheap Alberta bitumen-laden crude,https://vancouversun.com/news/local-news/chinese-buyers-ramp-up-purchases-of-cheap-alberta-bitumen-laden-crude,https://postmediavancouversun2.files.wordpress.com/2018/01/oil-rail.jpg,15
5,Tsvetana Paraskova,"Most of the world’s top oil trading houses expect oil prices to decline next year as slowing global economic growth and rising oil supply is expected to compensate for fewer Iranian crude barrels on the market, executives at the largest oil traders said at th… [+1932 chars]","Most of the world’s top oil trading houses expect oil prices to decline next year as slowing global economic growth and rising oil supply is expected to compensate for fewer Iranian crude barrels on the market, executives at the largest oil traders said at th…",2018-11-03T01:00:00Z,"{'id': None, 'name': 'Oilprice.com'}",Top Commodity Traders Expect Oil Prices To Drop In 2019,https://oilprice.com/Latest-Energy-News/World-News/Top-Commodity-Traders-Expect-Oil-Prices-To-Drop-In-2019.html,https://d32r1sh890xpii.cloudfront.net/news/718x300/7055d4f6660d0c7bb4832543bb9c64c7.jpg,27
6,Myra P. Saefong,"The oil market has had nearly six months to assess the possible effect of U.S. sanctions on Iranian oil exports. Surprisingly, the prospect of significantly tighter global supplies has resulted in lower prices. President Donald Trump announced on May 8 that h… [+4162 chars]","As U.S. sanctions finally arrive, prices are down since President Trump’s decision in May. Is that the right move amid tighter supply?",2018-11-03T01:16:07Z,"{'id': None, 'name': 'Barrons.com'}",Oil Market Bet: Iran Sanctions Won’t Boost Prices,https://www.barrons.com/articles/oil-market-bet-iran-sanctions-wont-boost-prices-1541087842,https://asset.barrons.com/img/barrons/social_highres.jpg,43
7,Gina Heeb,The US will reimpose oil sanctions against Iran on Monday. Eight countries are set to receive sanctions waivers. But they could still end up squeezing global oil supply. In the wake of President Donald Trump’s withdrawal from the Iran nuclear deal earlier thi… [+3384 chars],"In the wake of President Donald Trump’s  withdrawal from the Iran nuclear deal earlier this year, Washington will reinstate more economic penalties against Tehran at midnight on Monday.",2018-11-03T02:00:00Z,"{'id': None, 'name': 'Businessinsider.com.au'}",Here's why Trump wants to shut Iran out of the oil market,https://www.businessinsider.com.au/trump-iran-sanctions-oil-explained-2018-11,https://static.businessinsider.com/image/55a507fc69beddaf0309cb5e-640.jpg,72
8,"John Kicklighter, Chief Currency Strategist, John Kicklighter",Talking Points: Risk trends pulled out of their October plunge this past week but there are few fundamental rungs for bulls to grab Trade wars returned to the foreground with a confusing view from the White House but other themes present a known quantity Alon… [+7905 chars],"Both the S&P 500 and Dollar put in for tentative reversals this past week, but how committed are these markets to reverse course? With event risk, trade wars, rate decisions and the US election on tap; we are going to find out.",2018-11-03T02:17:00Z,"{'id': None, 'name': 'Dailyfx.com'}","Markets On Edge with Volatility Stoked by the Trade War, Rate Decisions, an Election",https://www.dailyfx.com/forex/video/daily_news_report/2018/11/03/Markets-On-Edge-with-Volatility-Supported-by-the-Trade-War-Rate-Decisions-an-Election.html,,84
9,,Enbridge Inc. is looking at options to help clear a glut of oil in Western Canada - including reversing a condensate import pipeline - but CEO Al Monaco counselled patience Thursday as all solutions will take time to put in place. The pipeline company reporte… [+240 chars],Enbridge Inc. is looking at options to help clear a glut of oil in Western Canada - including reversing a condensate import pipeline - but CEO Al Monaco counselled patience Thursday as all solutions will take time to put in place. The pipeline company reporte…,2018-11-03T02:18:12Z,"{'id': None, 'name': 'Topix.com'}",Enbridge CEO counsels patience as western oil glut 'screams' for solutions,http://www.topix.com/business/oil-gas/2018/11/enbridge-ceo-counsels-patience-as-western-oil-glut-screams-for-solutions?fromrss=1,http://picproxy.topixcdn.com/pics/up-,49
