,author,content,description,publishedAt,source,title,url,urlToImage,relevancy
0,Chris Varcoe,"The blue-light special price for Canadian oil has reached ridiculous levels — and it’s getting worse. The price for Western Canadian Select (WCS) crude fell to just US$26 a barrel on Thursday, while benchmark West Texas Intermediate crude closed at $71.98. At… [+5529 chars]",The blue-light special price for Canadian oil has reached ridiculous levels — and it’s getting worse.The price for Western Canadian Select (WCS) crude fell to just US$26 a barrel on Thu…,2018-10-13T00:48:28Z,"{'id': None, 'name': 'Calgaryherald.com'}","‘Crazy, crazy, crazy’ — discount on Canada’s oil costs billions",https://calgaryherald.com/business/energy/varcoe-crazy-crazy-crazy-producers-fret-as-discount-on-canadian-crude-costs-billions,https://postmediacalgaryherald2.files.wordpress.com/2018/10/qmi_es_husky_oil_jan_2012_02.jpg,49
1,Andrew Hecht,"The Story of This Week: Volatility Returns to the Stock Market - I'm Taking Profits on VXY It was an ugly week in the stock market. October has a long history as a month where stocks come under selling pressure, and the signs were on the wall. The ongoing tra… [+8997 chars]",Stocks tank in a long-overdue correction as interest rates crack the equity bull. Gold rallies in what could be a flight to quality or fears of inflation. Oil c,2018-10-13T01:13:09Z,"{'id': None, 'name': 'Seekingalpha.com'}","Commodities Recap For The Week Of Oct. 12, 2018",https://seekingalpha.com/article/4211394-commodities-recap-week-oct-12-2018,https://static1.seekingalpha.com/images/marketing_images/industry_construction/commodities4_min.jpeg,38
2,,India has been engaging with America and the European Union (EU) over the issue of oil imports from Iran. US officials are in India for last minute negotiations with the November 4 deadline soon approaching which would lead to the implementation of sanctions … [+3837 chars],"Responding to questions on reports that India will continue to purchase oil from Iran after November 4, State department spokesperson Heather Nauert said this was ""not helpful"".",2018-10-13T01:18:00Z,"{'id': None, 'name': 'Indiatoday.in'}","India engages with US, EU over American threats on Iranian oil imports",https://www.indiatoday.in/india/story/india-engages-with-us-eu-over-american-threats-on-iranian-oil-imports-1367056-2018-10-13,https://akm-img-a-in.tosshub.com/indiatoday/images/story/201810/dharmendra-647x363.png?OO03w.MT2p4M1B5ilg2tKQMoiJe6tthX,52
3,Barrons,13Ds are filed with the Securities and Exchange Commission within 10 days of an entitys attaining a greater than 5% position in any class of a companys securities. Subsequent changes in holdings or intentions must be reported in amended filings. This material… [+6846 chars],Pershing Square thinks it can restore the coffee retailer’s total shareholder return. Key to that accomplishment: increasing Starbucks’ presence in its Asia Pacific markets.,2018-10-13T01:36:16Z,"{'id': None, 'name': 'Barrons.com'}","Starbucks Stirred, Not Shaken",https://www.barrons.com/articles/starbucks-stirred-not-shaken-1539388801,https://asset.barrons.com/public/resources/images/ON-CQ214_BL_Sta_G_20180815110956.jpg,57
4,Raghav Ohri,"NEW DELHI: Investigative agencies are examining whether top government officials in the UPA-II regime and banks facilitated Vadodara-based Sterling Biotech, owned by the Sandesara family, commit a fraud. Although the Reserve Bank of India declared it a “wilfu… [+2508 chars]","Although the Reserve Bank of India declared it a “wilful defaulter” in 2012, the Sandesara Group raised over $80 million (Rs 589 crore) from abroad, people with knowledge of the matter told ET.",2018-10-13T01:54:19Z,"{'id': 'the-times-of-india', 'name': 'The Times of India'}","Sandesara probe: UPA government officials, bankers under lens",https://economictimes.indiatimes.com/news/politics-and-nation/sandesara-probe-upa-government-officials-bankers-under-lens/articleshow/66190032.cms,"https://img.etimg.com/thumb/msid-66190037,width-1070,height-580,imgsize-400790,overlay-economictimes/photo.jpg",40
5,Urowayino Warami,"By Sonny Atumah Last week oil prices spiked to an all time high in four years since 2014. The international benchmark ICE Brent for December settled at US$86.29 per barrel Wednesday October 3, up US$1.49 per barrel from Tuesday, October 2. The West Texas Inte… [+4808 chars]","Last week oil prices spiked to an all time high in four years since 2014. The international benchmark ICE Brent for December settled at US$86.29 per barrel Wednesday October 3, up US$1.49 per barrel from Tuesday, October 2. The West Texas Intermediate, WTI cr…",2018-10-13T02:05:04Z,"{'id': None, 'name': 'Vanguardngr.com'}",Geopolitical disruption risks without oil spare capacities,https://www.vanguardngr.com/2018/10/geopolitical-disruption-risks-without-oil-spare-capacities-2/,https://www.vanguardngr.com/wp-content/uploads/2017/10/oil-rig-barel.jpg,16
6,,Skip to comments. Having Problems Spreading Trump's Accomplishments? This Updated List of 289 Will Satisfy! https://www.waynedupree.com/trump-list-of-accomplishments/?source=tpi&amp;fbclid=IwAR1YOBuO6UQo123WPnjIoUqd1SyHGdn2DePQqT_C3U_EBN0RP8wphbYDVE0 ^ | 10-1… [+29275 chars],"Pres. Trump has given these candidates a blueprint of how to win these Republicans haven't got it yet. The Washington Examiner dropped an updated list of accomplishments that is so in-depth, I had to share it and give a little commentary on it. When I say I'm…",2018-10-13T02:22:46Z,"{'id': None, 'name': 'Freerepublic.com'}",Having Problems Spreading Trump's Accomplishments? This Updated List of 289 Will Satisfy!,https://www.freerepublic.com/focus/f-news/3696152/posts,,53
7,Tyler Durden,"Authored by Tom Luongo, I have to wonder when Russian President Vladimir Putin sleeps. Hes busier than any other leader, traveling the globe while consistently changing the board state geopolitically. While everyone, including me, has had their eye on the tur… [+7034 chars]","Authored by Tom Luongo, I have to wonder when Russian President Vladimir Putin sleeps. He’s busier than any other leader, traveling the globe while consistently changing the board state geopolitically. While everyone, including me, has had their eye on the tu…",2018-10-13T02:25:00Z,"{'id': None, 'name': 'Zerohedge.com'}",Multi-Polar Political Project Pushed Forward By Putin In India,https://www.zerohedge.com/news/2018-10-12/multi-polar-political-project-pushed-forward-putin-india,https://www.zerohedge.com/sites/default/files/styles/max_650x650/public/2018-10/putin-chess-e1509224614134.jpg?itok=7diyIigt,45
8,Terri Williams,"Accountants can earn a lucrative salary, especially if they work in the sub-sectors or cities or areas listed below. On average, accountants as of May 2017 earned a mean annual wage of $77,920 and a median annual wage of $69,350, according to the U.S. Bureau … [+4031 chars]","Accountants earn higher-than-average salaries, but they can make even more in certain parts of the country and sub-sectors.",2018-10-13T02:44:00Z,"{'id': None, 'name': 'Investopedia.com'}",Where Do Accountants Earn the Most Money?,https://www.investopedia.com/articles/professionals/102015/where-do-accountants-earn-most-money.asp,https://i.investopedia.com/dimages/graphics/shutterstock_155880614_0.jpg,48
9,,"Bulls had almost everything going their way on Friday, as benchmarks shrugged off weakness coming in from global markets and saw one of the biggest one-day gains since May 2016. For the week ended on October 12, 2018, both Sensex and the Nifty gained 1-1.5 pe… [+2963 chars]","A wrap of all the action from D-Street for the week that ended on October 12, 2018.",2018-10-13T02:52:34Z,"{'id': None, 'name': 'Moneycontrol.com'}","Market action in the week gone by: Sensex, Nifty end with gains of over 1%; select midcaps rise up to 30%",https://www.moneycontrol.com/news/business/markets/market-action-in-the-week-gone-by-sensex-nifty-end-with-gains-of-over-1-select-midcaps-rise-up-to-30-3041641.html,https://static-news.moneycontrol.com/static-mcnews/2018/08/NSE_PTI-662x435.jpg,20
